                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5579,                0.71377,                0.99536,                0.80366,                0.83607,                0.80735,                 0.3109,                 2.2044,                0.91927,                 1.2419,               0.070417,               0.003287,               0.003287
                      1,                 1.5682,                0.70403,                0.98715,                0.82256,                0.82583,                0.81357,                0.31878,                 2.1973,                0.92794,                 1.2361,               0.040404,              0.0066073,              0.0066073
                      2,                 1.5832,                0.71865,                 1.0059,                0.77578,                0.82514,                 0.7711,                0.29614,                 2.2556,                0.91684,                 1.2763,               0.010377,              0.0099143,              0.0099143
                      3,                  1.636,                0.72168,                  1.016,                0.79091,                0.80765,                0.77502,                0.29593,                 2.2929,                0.91159,                 1.2824,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6549,                0.74444,                0.99051,                0.78356,                0.82295,                0.78168,                0.31688,                 2.1966,                0.92299,                  1.248,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.612,                0.73969,                0.99757,                0.80429,                0.80656,                0.77846,                0.29284,                 2.2969,                0.92593,                 1.2687,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.6112,                0.73937,                0.99356,                0.79887,                0.81608,                0.78155,                0.27667,                 2.3074,                 0.9487,                 1.2586,               0.009901,               0.009901,               0.009901
                      7,                 1.6317,                0.73781,                 1.0047,                0.79234,                0.80896,                0.77005,                0.30694,                 2.2004,                0.91935,                 1.2606,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.6377,                0.74577,                 1.0066,                0.78992,                0.80546,                0.74321,                0.28126,                 2.2611,                0.94554,                 1.2721,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6354,                0.75356,                 1.0205,                0.79914,                0.82404,                0.76343,                0.30448,                 2.1991,                0.92321,                 1.2583,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6229,                0.73188,                 1.0143,                0.81319,                0.86108,                0.80277,                0.29481,                 2.2445,                0.92149,                 1.2445,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.6068,                0.73875,                0.99089,                0.78759,                 0.8306,                0.78187,                0.31001,                 2.2034,                0.92831,                 1.2448,               0.009802,               0.009802,               0.009802
